category,subcategory,product_brand,product_name,ratings,reviews,price,Date
Watches,Value picks,Merchant Bros,"Vintage Harry Potter Metal Pocket Watch Keychain, Antique Analog Clock Unisex keyring for Harry Potter Lovers (Bronze)",4.2,159,449,06-05-2023
Accessories,Mobile Accessories,,Violet Htech VLT-138 30W Mobile Charger Compatible with Honor Mobiles,3.8,8,,01-05-2023
Women's clothing,Dresses & jumpsuits,Marks & Spencer,Viscose Mix Embroidered Boat Neck Dress,3.1,2,"2,400",16-03-2023
Women's clothing,Kurtas & sets,rangita,Viscose Straight Festive Kurta With Pant Set for Women,4.7,12,"1,139",07-08-2023
Accessories,Radio Communication Accessories,,visionrabbit PTT/VOX Walkie Talkie Earpiece Headset with Mic for Baofeng UV-5R,5,1,599,20-08-2023
Watches,Classics,Sonata,Volt+ Analog Black Dial Men's Watch NM77086PL01 / NL77086PL01/NP77086PL01W,4.2,831,949,26-03-2023
Watches,Classics,Sonata,Volt+ Analog Green Dial Men's Watch NM77085PL02/NN77085PL02W/NP77085PL02W,4.2,616,949,14-02-2023
Women's clothing,Activewear,Nike,W NK DF SWSH PLS NONPDED Bra,4.3,165,669,05-05-2023
Luggage & bags,Backpacks,Boldfit,Waist Bag for Men Fanny Pack for Women Fanny Pack for Men Waist Bag for Women Chest Bag for Women Waist Pouch for Men Waist Bag for Boys Waist Bags for Girls Fanny Bag - Black,4.1,"1,662",299,14-10-2023
Luggage & bags,Backpacks,GOTRIPPIN,"Waist Bags for Men Women- Premium Stitching, Branded Zippers, Waterproof pocket, RFID safe- Large Fanny pack for Hiking Travel Camping Running Sports Outdoors, Money Belt with Adjustable Strap (Polyester,Black)",4.4,"2,545",999,30-10-2023
Footwear,Men's footwear,Red Tape,"Walking Sports Shoes for Men | Soft Cushioned Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Shock Absorption",4.1,"1,160",959,09-07-2023
Handbags,,HAMMONDS FLYCATCHER,"wallet for women - Genuine Leather Ladies Wallet - Green - 14 Card Slots - RFID Protection - 3 ID Card Slots - Women's Wallet - Button Closure -Hand Wallet - Daily Use, Money Purse",4.3,"1,370","1,107",09-03-2023
Handbags,,b4bags,Wallet for Women | Clutch for Women Daily Use | Ladies Hand Purse for Women Stylish Latest | Ladies Purse for Women Latest | Women Wallets for Women | Valentine Gift for Girlfriend Wife,4.2,"1,315",649,27-05-2023
Handbags,,Wooum,Water Resistance Side Bag - Travel Bag - Office Business Bag - Cross Body Bag - Messenger Bag - Sling Bag for Men and Women Adjustable Strap – Navy Blue,4.3,162,298,05-11-2023
Cameras & Photography,Gimbals,,"WeCool Auto Face Tracking Tripod,360° Rotation Mobile Holder for Smart Video&Photo Shooting with Remote,No App Needed,Gimbal Stabilizer with Gesture Control for Vlog,Streaming & Video Recording,Black",4.2,34,,25-09-2023
Cameras & Photography,Gimbals,,"WeCool G1 1-Axis Gimbal Stabilizer with Wireless Remote, Extendable Bluetooth Selfie Stick and Tripod, 360 Auto Rotation, Auto Balance for Vlog and Anti Shaking for Live Videos, for Phone and gopro",3.6,"1,076",,14-06-2023
